BARCODE,ARRAY,RESULT,MODEL,TIME
00116314000N100000021,1,PASS,MX5a_HEAD_CTRO_DWLX_LDM_C01-2G,2026-03-20-13-32-17
00126314000N100000021,2,PASS,MX5a_HEAD_CTRO_DWLX_LDM_C01-2G,2026-03-20-13-32-17
