BARCODE,ARRAY,RESULT,MODEL,TIME
001163140007100000021,1,PASS,MX5a_HEAD_CTRO_DWLX_LDM_C01-2G,2026-03-20-13-36-36
001263140007100000021,2,PASS,MX5a_HEAD_CTRO_DWLX_LDM_C01-2G,2026-03-20-13-36-36
